code,description,name,prerequisites
PSYC 110,"This course provides training in applying advanced statistical methods to experimental design. Emphasis will be placed on the developing skills in statistical problem-solving, using computer applications, and writing scientific reports. Must be taken for a letter grade for the Psychology Honors Program.  ** Consent of instructor to enroll possible  **",Juniors Honors Research Seminars,[]
PSYC 111A,"This course builds upon the material of PSYC 111A. Students will participate in data collection, data organization, statistical analysis and graphical analysis, with emphasis placed on developing scientific report writing, presentations, and critical thinking about experimental methods. Must be taken for a letter grade for the Psychology Honors Program. ",Research Methods I,['PSYC 111A']
PSYC 111B,"This course provides training in the design, execution, and analysis of electroencephalogram (EEG) experiments to study perception and cognition. The course will provide basic background on the EEG methodology: what and how neural signals are measured with EEG, how to interpret them, and how to design experiments. It will also provide hands-on training on conducting an EEG study: we will design and run experiments together in the laboratory, analyze the data, and discuss the results. ",Research Methods II,"['PSYC 60', 'COGS 14B', 'PSYC 70', 'COGS 14A', 'COGS 101A', 'COGS 107A', 'COGS 107B', 'COGS 107C', 'PSYC 102', 'PSYC 106', 'PSYC 108']"
PSYC 113,This course provides an overview and training in the use of psychophysiological methods to investigate the cognitive and emotional process involved in understanding and reacting to other people. Students will develop individual research questions and actively participate in designing and conducting the experiments. ,Electroencephalogram,[]
PSYC 114,"This course provides training in the design, execution, and analysis of cognitive psychology experiments. Students may not receive credit for both PSYC 115 and PSYC 115A.  ** Upper-division standing required ** ",Psychophysiological Perspectives on the Social Mind Laboratory ,['PSYC 60']
PSYC 115A,"This course is designed to extend the training of PSYC 115A in the design, execution, and analysis of cognitive psychology experiments. Students may not receive credit for both PSYC 115 and PSYC 115B.  ** Upper-division standing required ** ",Laboratory in Cognitive Psychology I,['PSYC 115A']
PSYC 115B,"This course provides examination of theory, research design, and methods for clinical research. Students complete an internship at a clinical research lab, culminating in a paper. May be taken for credit three times for a total of eight units. Students may not receive credit for both PSYC 116 and PSYC 107. ",Laboratory in Cognitive Psychology II,[]
PSYC 116,This course provides experience conducting educational research and outreach for children in greater San Diego County. May be taken for credit three times. ,Laboratory in Clinical Psychology Research,[]
PSYC 117,"This course provides a survey of research and theory in learning and motivation. Topics include instincts, reinforcement, stimulus control, choice, and human application. ",Laboratory in Educational Research and Outreach ,[]
PSYC 120,This course provides laboratory experience in operant psychology. ,Learning and Motivation,[]
PSYC 121,This course focuses on approaches to the study of behavior and its underlying fundamental units of analysis in human and nonhuman animals. Students may not receive credit for both PSYC 122 and PSYC 103. ,Laboratory in Operant Psychology,[]
PSYC 122,"This course provides an understanding of how the frontal lobes allow us to engage in complex mental processes. Topics may include anatomy and theory of prefrontal function, frontal lobe clinical syndromes, pharmacology and genetics, emotion control, and cognitive training. ",Mechanisms of Animal Behavior,[]
PSYC 123,"This course provides an introduction to the history, purpose, and recent changes to the Diagnostic and Statistical Manual of Mental Disorders along with appropriate evidence-based interventions. Other topics include psychiatric emergencies, crisis management, and ethics. Recommended preparation: Completion of PSYC 100. ",Cognitive Control and Frontal Lobe Function,[]
PSYC 124,"This course provides a fundamental understanding of brain-behavior relationships as applied to the practice of clinical neuropsychology. Major topics include functional neuroanatomy, principles of neuropsychological assessment and diagnosis, and the neuropsychological presentation of common neurologic and psychiatric conditions. ",Clinical Assessment and Treatment ,[]
PSYC 125,"This course provides experience with clients in a community mental health care setting, under professional supervision. Seminar-based instruction also provides a framework for understanding theoretical, practical, and ethical issues related to client care. ",Clinical Neuropsychology,"['PSYC 100', 'PSYC 124']"
PSYC 126,"This course provides basic information about the nature of reading. Topics include word recognition, eye movements, inner speech, sentence processing, memory for text, learning to read, methods for teaching reading, reading disabilities and dyslexia, and speed-reading. Recommended preparation: completion of PSYC 105 or PSYC 145. ",Practicum in Community Mental Health Care,[]
PSYC 128,"This course provides an overview of how we perceive the world. Topics include classic studies in perception, discussion of the view that perception is “logical,” and new insights into the neural mechanisms underlying perception. ",Psychology of Reading,[]
PSYC 129,"This course provides a review of research on delay of gratification. Topics include what makes it so tough, in what situations it is possible, who can do it, and the implications of this ability. ",Logic of Perception,[]
PSYC 130,"This course provides a background into the origins and implementation of scientific racism, especially since the nineteenth century. Topics may include race/ethnicity and genetics, intelligence, nationalism, criminality, human performance, and morphometry. ",Delay of Gratification,[]
PSYC 131,"This course examines how hormones influence a variety of behaviors and how behavior reciprocally influences hormones. Specific topics covered include aggression, sex and sexuality, feeding, learning, memory, mood and neural mechanisms both in humans and nonhuman animals. Recommended preparation: completion of PSYC 106.  ","Scientific Racism: Genetics, Intelligence, and Race",[]
PSYC 132,"This interdisciplinary course provides an overview of the fundamental properties of daily biological clocks of diverse species, from humans to microbes. Emphasis is placed on the relevance of internal time keeping in wide-ranging contexts including human performance, health, and industry. Cross-listed with BIMM 116.  ** Consent of instructor to enroll possible  **",Hormones and Behavior,[]
PSYC 133,"This course provides an overview of the biology and psychology of eating disorders such as anorexia nervosa, bulimia nervosa, and binge eating disorder. Abnormal, as well as normal, eating will be discussed from various perspectives including endocrinological, neurobiological, psychological, sociological, and evolutionary.  ",Circadian Rhythms—Biological Clocks,[]
PSYC 134,"This course provides an overview of how children’s thinking develops. Topics may include perception, concept formation, memory, problem solving, and social cognition.  ",Eating Disorders,[]
PSYC 136,"This course provides an overview of social cognition, which blends cognitive and social psychology to understand how people make sense of the social world. Topics may include social perception, inference, memory, motivation, affect, understanding the self, stereotypes, and cultural cognition.  ",Cognitive Development,[]
PSYC 137,"This course provides an overview of auditory perception. Topics may include the physiology of the auditory system, perception of pitch, loudness, and timbre, sound localization, perception of melodic and temporal patterns and musical illusions and paradoxes. Recommended preparation: ability to read musical notation.  ",Social Cognition,[]
PSYC 138,"This course provides an introduction to the applications of social psychological principles and findings to sports. Topics include motivation, level of aspiration, competition, cooperation, social comparison, and optimal arousal. Additional topics may include the perspective of spectators, discussing motivation and perceptions of success, streaks, and such. ",Sound and Music Perception,[]
PSYC 139,"This course provides training in applying the principles of human behavior, including choice behavior, self-control, and reasoning.  ",The Social Psychology of Sport,[]
PSYC 140,"This course provides insight into the question of whether important aspects of human behavior can be explained as resulting from natural selection. Topics include sex differences, selfishness and altruism, homicide and violence, and context effects of human reasoning.  ",Human Behavior Laboratory,[]
PSYC 141,"This course provides a survey of research on consciousness from an experimental psychology perspective. Special emphasis will be placed on cognitive, neuroimaging, and clinical/psychiatric investigative techniques, and on the scientific assessment of the mind-body problem.  ",Evolution and Human Nature,[]
PSYC 142,"This course provides an overview of the behavioral approach, including basic principles, self-control, clinical applications, and the design of cultures. ",Psychology of Consciousness,[]
PSYC 143,"This course will provide a survey of current research and theory concerning human memory and amnesia from both cognitive and neuropsychological perspectives. Topics may include short-term (working) memory, encoding and retrieval, episodic and semantic memory, interference and forgetting, false memory, eyewitness memory, emotion and memory, famous case studies of amnesia, and the effects of aging and dementia on memory.  ",Control and Analysis of Human Behavior,[]
PSYC 144,"This course provides an overview of language comprehension and production. Topics include animal communication, language development, and language disorders. Recommended preparation: completion of a course in language, cognition, or philosophy of the mind. ",Memory and Amnesia,[]
PSYC 145,"This course provides an introduction to research on language acquisition and its relationship to conceptual development. Topics include theoretical foundations (e.g., learning mechanisms, theories of concepts) and empirical case studies, including word learning, syntax and semantics, and language and thought. Recommended preparation: completion of a course in language/linguistics, cognition, or cognitive development. ",Psychology of Language,[]
PSYC 146,"This course provides an overview of the role of gender in psychology, with an emphasis on critical thinking about gender. Topics may include gender differences in behavior and communication, influences on gender roles, gender identity, and gender effects on health and well-being.  ",Language and Conceptual Development,[]
PSYC 147,"This course provides an overview of judgment and decision making, which is broadly concerned with preferences, subjective probability, and how they are combined to arrive at decisions. History and current topics will be covered. ","Gender
				   ",[]
PSYC 148,"This course provides an overview of the neural basis of visual experience, or how our brain creates what we see in the world around us. ",Psychology of Judgment and Decision,[]
PSYC 150,"This course provides an introduction to psychology testing. Topics include psychometrics and statistical methods of test construction; application of psychological tests in industry, clinical practice, and applied settings; and controversies in the application of psychological tests. ",Cognitive Neuroscience of Vision,[]
PSYC 151,"This course provides an overview of the concept of intelligence from multiple perspectives. Topics include how intelligence is measured and the role of this measurement on practical matters, the role of intelligence in comparative psychology, and attempts to analyze intelligence in terms of more fundamental cognitive processes.  ",Tests and Measurement,[]
PSYC 152,"This course provides an overview of past and current theories of emotion. Topics include facial expressions associated with emotion, psychophysiology, evolutionary perspectives, and specific emotions such as anger, fear, and jealousy. ",Conceptions of Intelligence,[]
PSYC 153,"The course provides an extension of learning principles to human behavior. Topics include broad implications of a behavioral perspective, applied behavior analysis, and applications of behavioral principles to clinical disorders and to normal behavior in varied settings. ",Psychology of Emotion,[]
PSYC 154,"This course provides an exploration of health, illness, treatment, and delivery of treatment as they relate to psychological concepts and research and considers how the social psychological perspective might be extended into medical fields. ",Behavior Modification,[]
PSYC 155,"This course provides an overview of infant development. Students will critically evaluate scientific theories regarding infant cognitive, linguistic, and social behavior. Recommended preparation: PSYC 60. ",Social Psychology and Medicine,[]
PSYC 156,"This course provides an overview of the psychology of happiness. Topics may include such questions as: What is happiness? How do we measure it, and how do we tell who has it? What is the biology of happiness and what is its evolutionary significance? What makes people happy—youth, fortune, marriage, chocolate? Is the pursuit of happiness pointless?  ",Cognitive Development in Infancy,[]
PSYC 157,"This course provides an examination of theories and empirical work pertaining to interpersonal relationships. Topics include attraction, jealousy, attachments, and love.  ",Happiness,[]
PSYC 158,This course provides a survey of sensory and perceptual phenomena with an emphasis on their underlying physiological mechanisms. ,Interpersonal Relationships,[]
PSYC 159,"This course provides a survey of psychological findings relevant to designing “user-friendly” computers and devices and improving aviation and traffic safety. Topics include human perception as it pertains to displays and image compression, human memory limitations relevant to usability, and nature of human errors. ",Physiological Basis of Perception,[]
PSYC 161,"This course provides an overview of the intersection between psychology and the legal system, covering a broad range of forensically relevant issues. Topics may include false memories, false confessions, eyewitness reliability, lie detection, DNA exonerations of the wrongfully convicted, jury decision making, and neuroscience and the law Recommended preparation: PSYC 60. ",Engineering Psychology,[]
PSYC 162,"This course provides an overview of the scientific study of law making and societal reaction to law breaking activity. Topics include major theories accounting for criminal behavior, the relationship between drugs and crime, the effects of penalties on recidivism, and the psychological effects of incarceration. ",Psychology and the Law,[]
PSYC 164,"This course provides a survey of the major trends and figures in the development of psychology as a field. Topics may include the mind-body problem, nativism vs. empiricism, and the genesis of behaviorism. ",Criminology,[]
PSYC 166,"This seminar explores how psychologists think about and study the imagination—the capacity to mentally transcend time, place, and circumstance to think about what might have been, plan and anticipate the future, create and become absorbed in fictional worlds, and consider alternatives to actual experiences. You will learn how to evaluate psychological evidence, and how to read, interpret, discuss, present, and write about scientific literature. PC25, PC26, PS28, PC29, PC30, PC31, PC32, PC33, PC34, PC35, HD01, HD02, HD25, HD26, or CG32 major only.",History of Psychology,[]
PSYC 167,"This course provides an overview of psychological disorders in children. Topics may include anxiety disorders, depressive and bipolar disorders, communication and learning disorders, conduct problems, autism, and other conditions. Emphasis is placed on symptomatology, assessment, etiological factors, epidemiology, and treatment.   ",Science of Imagination,[]
PSYC 168,"This course provides an introduction to the neural mechanisms underlying perception, memory, language, and other mental capacities. Topics include how brain damage affects these capacities and how patients with brain lesions can contribute to our understanding of the normal brain. ",Psychological Disorders of Childhood,[]
PSYC 169,This course provides a journey to the interface between neurophysiology and psychology. Topics include neuroimaging and neuroplasticity. ,Brain Damage and Mental Function,[]
PSYC 170,"This course provides an overview of the neurobiology of learning and memory, from cognitive to molecular neuroscience, including human, animal, cellular, and molecular studies of memory. Topics include amnesia, intellectual disability, exceptional intelligence, aging, and Alzheimer’s disease. ",Cognitive Neuropsychology,['PSYC 2']
PSYC 171,"This course provides an overview of human sexuality research including diversity of sexual behavior and identities, sex and gender development, intimate relationships, and sexual dysfunction. Recommended preparation: completion of PSYC 1, 2, or 106. ",Neurobiology of Learning and Memory,[]
PSYC 172,"This course provides an overview of the biological, psychological, and social influences on the psychology of food and behavior. Topics may include taste preferences and aversions and how they are learned, how culture influences food selection, and food-related behaviors across the lifespan. ",Psychology of Human Sexuality,[]
PSYC 173,"This course provides an overview of high-level visual perception, and of how visual perception intersects with attention, memory, and concepts. Topics may include an introduction to the visual system with an emphasis on high-level visual regions; object recognition, face recognition, scene recognition and reading; visual attention, including eye movements during scene perception and during reading; and visual working memory. ",Psychology of Food and Behavior,[]
PSYC 174,"This course provides a review of the scientific research surrounding the topic of Mindfulness, which has been approached from multiple disciplines including Buddhism, Positive Psychology, Cognitive Behavioral Therapy, and Neuroscience. Because Mindfulness is so multi-faceted, with many variables involved, the scientific study of Mindfulness requires rigorous research methods and statistics, and for this reason, a significant portion of the class focuses on these aspects. ",Visual Cognition,"['COGS 14B', 'MATH 11', 'PSYC 60', 'COGS 14A', 'PSYC 70']"
PSYC 175,"This course provides an overview of how to foster creativity in individuals, groups, and organizations. Themes that cut across all three levels are highlighted. ",Science of Mindfulness,[]
PSYC 176,"This course provides an examination of human behavior in industrial, business, and organizational settings. Topics include psychological principles applied to selection, placement, management, and training; the effectiveness of individuals and groups within organizations, including leadership and control; conflict and cooperation; motivation; and organizational structure and design. ",Creativity,[]
PSYC 178,"This course provides an overview of the use, abuse, liability, and psychotherapeutic effects of drugs on humans. ",Industrial Organizational Psychology,[]
PSYC 179,"This course provides an overview of the period of human adolescence, including the physical, cognitive, social, and emotional changes that take place during this developmental transition. ","Drugs, Addiction, and Mental Disorders",[]
PSYC 180,"This course provides an examination of visual, auditory, and tactile illusions and examines how they arise from interactions between perceptual and cognitive systems. ",Adolescence,[]
PSYC 181,"This course provides an overview of the experimental analysis of choice behavior, with an emphasis on the types of choice involved in self-control. A central interest will be the conditions under which decision-making is optimal. ",Psychopharmacology—Drugs and Behavior,[]
PSYC 182,"This course provides tools for the student to think about the escalating climate crisis. Urgent action is needed at a large, societal scale to prevent the worst consequences of anthropogenic global heating. Better understanding the prospects for such action can come from human psychology. How do people arrive at their beliefs? What is the basis of denial and delay? How does belief flow to action? What kinds of actions can people take? ",Illusions and the Brain,[]
PSYC 184,"This course provides an overview of how children learn to reason about the social world. Topics may include theory of mind, social categorization and stereotyping, moral reasoning, and cultural learning. Recommended preparation: PSYC 101. ",Choice and Self-Control,[]
PSYC 185,"This course provides an overview of problems of impulse control, which are important features of major psychiatric disorders and also of atypical patterns of behavior including pathological gambling, compulsive sex, eating, exercise, and shopping. Topics include development, major common features, treatment, and neurobiological basis of impulse control disorders. ",Psychology of Climate Crisis,[]
PSYC 187,"This course provides a survey of natural behaviors, including birdsong, prey capture, localization, electroreception and echolocation, and the neural system that controls them, emphasizing broad fundamental relationships between brain and behavior across species. Cross-listed with BIPN 189. Students may not receive credit for PSYC 189 and BIPN 189. ",Development of Social Cognition,"['BILD 2', 'PSYC 102', 'PSYC 106']"
PSYC 188,"This course provides an interdisciplinary overview of theories and scientific research on parenting. This course takes a critical approach to the scientific evidence regarding the role of parents in child development. Topics may include media reporting of science, behavior genetics, diet, sleep, the nature of learning, screen time, impulse control, family structure, parenting styles, attachment, discipline strategies, and vaccination. ",Impulse Control Disorders,[]
PSYC 189,"This course provides an overview of the psychology of sleep, including sleep stages and their functions, neurological aspects of sleep, sleep across species and development, dreams and their interpretation, sleep disorders, and the role of sleep in learning and memory. ","Brain, Behavior, and Evolution",[]
PSYC 190,"The Senior Seminar Program is designed to allow senior undergraduates to meet with faculty members in a small setting to explore an intellectual topic in psychology (at the upper-division level). Topics will vary from quarter to quarter. Senior Seminars may be taken for credit up to four times, with a change in topic, and permission of the department. Enrollment is limited to twenty students, with preference given to seniors.  ** Consent of instructor to enroll possible  **",Science of Parenting,[]
PSYC 191,Selected topics in the field of psychology. May be taken for credit three times as topics vary.  ** Upper-division standing required ** ,Psychology of Sleep,[]
PSYC 192,Selected laboratory topics in the field of psychology. May be taken for credit two times as topics vary.  ** Upper-division standing required ** ,Senior Seminar in Psychology,[]
PSYC 193,This course provides the opportunity for students to plan and carry out a research project under the guidance of the psychology faculty. Students will write a proposal for the research that they plan to conduct in 194B-C and will present this proposal to the class. Must be taken for a letter grade for the Psychology Honors Program. ,Topics in Psychology,"['PSYC 110', 'PSYC 111A-B']"
PSYC 193L,This course provides the opportunity for students to continue to carry out their research projects. Must be taken for a letter grade for the Psychology Honors Program. ,Psychology Laboratory Topics,['PSYC 194A']
PSYC 194A,"This course provides the opportunity for students to complete their research, write their honors thesis, and present their results at the Honors Poster Session. Must be taken for a letter grade for the Psychology Honors Program. ",Honors Thesis I,['PSYC 194B']
PSYC 194B,"Introduction to teaching a psychology course. As an undergraduate instructional apprentice, students will attend the lectures of the course, hold weekly meetings with students of the course, hold weekly meetings with course instructor. Responsibilities may include class presentations, designing and leading weekly discussion sections, assisting with homework and exam grading, and monitoring and responding to online discussion posts. P/NP grades only. May be taken for credit two times. Only four units can be applied toward the psychology minor or major as upper-division psychology elective credit. ",Honors Thesis II,[]
PSYC 194C,"Weekly research seminar, three quarter research project under faculty guidance which culminates in a thesis. Must be taken for a letter grade to satisfy major requirements for Department of Psychology majors. ",Honors Thesis III,[]
PSYC 195,Group study under the direction of a faculty member in the Department of Psychology. ,Instruction in Psychology,[]
PSYC 196A-B-C,Independent study or laboratory research under direction of faculty in the Department of Psychology. P/NP grades only. May be taken for credit nine times.  ** Upper-division standing required ** ,Research Seminar,[]
PSYC 198,  ,Directed Group Study in Psychology,[]
PSYC 199,"The first part of a series of intensive courses in statistical methods and the mathematical treatment of data, with special reference to research in psychology.",Independent Study,[]
CGS 2A,"This course will be a general introduction to the key terms, issues, and concepts in the fields of gender and sexuality studies. ",Introduction to Critical Gender Studies: Key Terms and Concepts ,[]
CGS 2B,An introduction to the social relations of power that are shaped by and that shape gender and sexuality. It will build more on the basic concepts and skills introduced in CGS 2A. ,Introduction to Critical Gender Studies: Social Formations ,[]
CGS 87,"The Freshman Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small, seminar setting. Freshman Seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering freshmen. ","Critical
		  Gender Studies Freshman Seminar",[]
CGS 100A,"This course explores the significance of gender as a category of analysis by examining diverse theoretical frameworks from the field of critical gender studies. Particular attention is given to gender in relation to race, class, sexuality, nation, (dis)ability, and religion. Students will not receive credit for both CGS 100 and 100A. ",Conceptualizing Gender: Theoretical Approaches ,"['CGS 2A-B', 'CGS upper-division']"
CGS 100B,"The global effects of modernity, modernization, and globalization on men and women. Topics: international consumer culture; international divisions of labor; construction of sexuality and gender within global movements; and the migrations of people, capital, and culture.  ** Consent of instructor to enroll possible  ** ** Upper-division standing required ** ",Conceptualizing Gender: Methods and Methodologies,[]
CGS 101,"Examines the different methodologies and disciplinary histories that together constitute the interdisciplinary project called queer studies. Of particular interest will be how these different methodologies and history construe and construct the relations between gender, race, class, and nation.  ** Consent of instructor to enroll possible  ** ** Upper-division standing required ** ","Gender, Modernity, and Globalization",[]
CGS 105,"Explores the legal treatment of discrimination on the basis of gender, including equal protection doctrine and some statutory law such as Title VII. Topics include the meaning of gender equality in such areas as single-sex education, military service, sexual harassment, discrimination on the basis of pregnancy, and other current issues. ",Queer Theory,[]
CGS 106,"(Cross-listed with LTCS 108.) This course explores the idea of artificial intelligence in both art and science, its relation to the quest to identify what makes us human, and the role gender and race have played in both. Students may not receive credit for CGS 108 and LTCS 108.",Gender and the Law,[]
CGS 108,"Various approaches to the study of gendered bodies. Possible topics to include masculinities/femininities; lifecycles; biology, culture, and identity; medical discourses; and health issues. May be taken for credit three times when topics vary.  ** Consent of instructor to enroll possible  ** ** Upper-division standing required ** ","Gender, Race, and Artificial Intelligence",[]
CGS 111,"(Cross-listed with ETHN 127.) This course explores the nexus of sex, race, ethnicity, gender, and nation and considers their influence on identity, sexuality, migration movement and borders, and other social, cultural, and political issues that these constructs affect.  ** Consent of instructor to enroll possible  ** ** Upper-division standing required ** ",Gender and the Body,[]
CGS 112,"Examines gender and sexuality in artistic practices: music, theatre, dance, performance, visual arts, and new media. Topics may include study of specific artists, historical moments, genres, cross-cultural analyses, and multiculturalism. May be taken three times when topics vary.  ** Consent of instructor to enroll possible  ** ** Upper-division standing required ** ",Sexuality and Nation,[]
CGS 113,"(Cross-listed with ETHN 183.) Gender is often neglected in studies of ethnic/racial politics. This course explores the relationship of race, ethnicity, class, and gender by examining the participation of working-class women of color in community politics and how they challenge mainstream political theory.",Gender and Sexuality in the Arts,[]
CGS 114,"(Cross-listed with ANSC 117.) This course contrasts mainstream Anglo-American conceptualizations of transgenderism with ethnographic accounts of the experiences and practices of gender expansive people of color (African, Native, Asian/Pacific Islander, and Latinx Americans) in the United States and abroad. It will question the idea of transgenderism as a crossing from one gender to another one, the distinction between gender identity and sexuality, and the analytic of intersectionality. Students will not receive credit for both CGS 117 and ANSC 117.","Gender, Race, Ethnicity, and Class",[]
CGS 117,"(Cross-listed with ANSC 186.) This course investigates the ways in which forces of racism, gendered violence, and state control intersect in the penal system. The prison-industrial complex is analyzed as a site where certain types of gendered and racialized bodies are incapacitated, neglected, or made to die. Students may not receive credit for CGS 118 and ANSC 186. ",Transgenderisms,[]
CGS 118,"(Cross-listed with LTCS 119.) The course explores the politics of pleasure in relation to the production, reception, and performance of Asian American identities in the mass media of film, video, and the internet. The course considers how the ""deviant"" sexuality of Asian Americans (e.g., hypersexual women and emasculated men) does more than uniformly harm and subjugate Asian American subjects. The texts explored alternate between those produced by majoritarian culture and the interventions made by Asian American filmmakers. Students may not receive credit for LTCS 119 and CGS 119.",Gender and Incarceration,[]
CGS 119,"(Cross-listed with ANSC 180.) Drawing insight from anti-colonial and queer of color critique, this course critically examines the demands capitalism makes on us to perform gender, and how that relates to processes of exploitation and racialization. We will explore alternatives and develop strategies for navigating jobs in this system. Students may receive credit for one of the following: CGS 120, CGS 180, and ANSC 180.","Asian American Film, Video, and New Media: The Politics of Pleasure",[]
CGS 120,"An interdisciplinary course focusing on one of a variety of topics in gender studies, such as gender and science, the body, reproductive technologies, and public policy. May be taken for credit three times when topics vary. ",Capitalism and Gender,"['CGS 2A-B', 'CGS upper-division']"
CGS 121,"Focuses on the relationship between gender and culture from a multiplicity of perspectives. Possible topics could include gender and ethnicity, gender across class, and other topics to be examined in a cross-cultural framework. May be taken for credit two times when topics vary. ",Selected Topics in Critical Gender Studies,"['CGS 2A-B', 'CGS upper-division']"
CGS 122,"Legal treatment of gender, reproductive rights, and the family, particularly as evolving law, primarily in the U.S., has created conflicting rights, roles, and responsibilities. Topics include abortion, fetal rights, surrogacy, marriage, and child custody issues. Students will not receive credit for both CGS 107 and 123. ",Advanced Topics in Comparative Perspectives,"['CGS 2A-B', 'CGS upper-division']"
CGS 123,"Explores how girls’ sexualities are shaped by gender, race, class, educational and penal institutions, and sexual norms. Engages with interdisciplinary scholarship that examines how and why the topic of girls and sexuality has become a volatile subject of public debate, and the manner in which girls’ sexualities are represented in various media, particularly film. Students will not receive credit for both CGS 116 and 124. ",Gender and Reproductive Politics,"['CGS 2A-B', 'CGS upper-division']"
CGS 124,"For women of color, writing has been more than just artistic expression. Women of color have also used the written word to challenge dominant ideas of race, gender, desire, power, violence, and intimacy, and to construct new ways of knowing, writing, and being. This course examines writing by women of color to understand how literary texts can shape and reflect social and political contexts. ","Girls and Sexuality: Moral Panics, Perils, and Pleasures","['CGS 2A', 'CGS 2B', 'CGS upper-division']"
